	Mezocikel 1 (brez creatina)																																									
	Podatki o datumu		Podrobnosti treninga				Prehrana										Fiziološke meritve									Psihološke meritve					Življenjski dejavniki						Meritve okrevanja		Dodatne opombe			
Teden	Datum	Dan v mezociklu	Čas začetka treninga	Čas konca treninga	Skupno trajanje treninga	Split day	Calories	Protein (g)	Carbohydrates (g)	Fiber (g)	Sugar (g)	Fat (g)	Water consumption (L)	Cholesterol (mg)	Sodium (mg)	Vnos kreatina (g)	Telesna teža (kg)	Odstotek telesne maščobe	Meritve mišic	Krvni tlak	Srčni utrip v mirovanju	Soreness	Energy level	Sleep	Sleep quality (1-10)	Razpoloženje	Raven stresa	Motivacija	Osredotočenost med treningom	Splošna utrujenost	Steps	KM	Vnos kofeina (mg)	Vnos alkohola	Kajenje	Čas pred zaslonom pred spanjem	Aktivnosti za aktivno okrevanje	Poškodbe ali bolezni	Odstopanja od načrta	Posebni dogodki	Splošni komentarji	Upoštevanje programa
1	7.10.2024	1	20:00	21:10	01:10	CHEST	2102	80	120	0	40	35	4	23	605	0	73,6					/	Low	2h 30m	9	6	5	0	7	9	11742	9,07	300	/	/							
	8.10.2024	2	20:21	21:30	01:09	ARMS	3008	115	314	3	143	138	3,3	66	1580	0	73,3					/	Medium	8h 50m	9	8	2	5	8	3	14024	10,91	80	/	/							
	9.10.2024	3	22:50	23:55	01:05	LEGS	3088	164	405	0	132	89	2	0	6	0	74,6					/	Low	8h 30m	7	9	2	9	2	1	1410	4,5	80	/	/						Shit workout, no mind muscle connection, felt weak	
	10.10.2024	4	20:20	21:30	01:10	BACK, SHOULDERS, FOREARMS	3859	214	495	3	132	110	3	68	821	0	75					Arms, Legs	Medium	7h	6	8	0	9	5	3	11325	8,93	160	/	/							
	11.10.2024	5	00:00	00:00	00:00	REST	2735	188	276	5	70	91	2	164	2536	0	75,5					/	Medium	10h	8	9	0		6	5	11214	8,73	90	/	/							
	12.10.2024	6	00:00	00:00	00:00	REST	2031	104	264	8	56	57	3	120	2430	0	75,1					/	High	10h	9	9	0		6	0	2991	2,29	120	/	/							
	13.10.2024	7	00:00	00:00	00:00	REST	3074	132	323	4	100	138	2	40	3405	0	74,7					/	Low	5h	5	5	4		2	0	6674	5,07	160	/	/							
2	14.10.2024	8	20:30	21:20	00:50	BACK, SHOULDERS	3089	114	250	13	60	173	2	149	2341	0	74,4					/	Medium	7h	7	9	2	7	8	2	13509	10,59	210	/	/							
	15.10.2024	9	20:30	21:40	01:10	ARMS, FOREARMS	2670	198	380	19	190	46	3	160	2184	0	75,5					Back, spinal erectors	High	7h	6	8	2	6	9,5	1	17378	13,46	210	/	/						For some reason mam hella sore spinal erectorje	
	16.10.2024	10	19:26	20:20	00:54	CHEST	2968	207	413	0	62	55	2	0	82	0	75,1					Back, spinal erectors	Medium	9h 30m	7	8	1	5	8	3	7410	5,74	200	/	/						Sore chest from shoulder day	
	17.10.2024	11	20:10	21:00	00:50	LEGS	3138	194	463	0	142	58	3	0	284	0	76,6					Spinal erecotrs, hamstrings	Low	7h	7	10	2	8	10	2	9847	7,75	390	Yes	/						3/10 sore spinal erectors	
	18.10.2024	12	00:00	00:00	00:00	REST	1890	113	334	14	77	16	3	0	0	0	76,5					Quads	Medium	9h 50m	8	10	3			8	9600	7,57	300	/	/							
	19.10.2024	13	00:00	00:00	00:00	REST	2785	140	232	15	56	62	3	77	789	0	75,1					quads	Low	8h 50m	8	7	4			2	3925	3	120	/	/							
	20.10.2024	14	00:00	00:00	00:00	REST	2715	188	276	5	70	91	2	164	2536	0	75,3					quads	Low	9h 40m	8	7	6			1	4233	3,2	120	/	/							
3	21.10.2024	15	22:10	23:00	00:50	CHEST	2777	185	363	1	72	63	4	66	975	0	75,1						High	6h 10m	6	8	7		8	6	13510	10,55	380	/	/							
	22.10.2024	16	00:00	00:00	00:00	MISSED	2931	197	398	1	101	61	4	69	1032	0	76,1						Medium	8h 10m	7,5	7	8		/	4	8135	6,38	240	/	/							
	23.10.2024	17	20:42	21:50	01:08	LEGS	3915	209	506	0	155	110	4	0	206	0	75,5					minimal quads	Medium	8h	6	8	1			2	12142	9,51	240	/	/							
	24.10.2024	18	20:30	21:40	01:10	SHOULDERS ARMS AND BACK	4147	157	643	1	234	100	4	72	1237	0	76,7					lower back, lumbar spine	Medium	7h 50m	8	7	3			3	13013	10,16	120	/	/							
	25.10.2024	19	00:00	00:00	00:00	REST	2640	217	305	9	67	42	3,5	0	203	0	77					hamstrings 2/10	Medium	7h 40m	7	8	1			1	5906	4,62	120	/	/							
	26.10.2024	20	00:00	00:00	00:00	REST	2990	226	374	4	6	62	3,3	291	779	0	76,3						Medium	6h 20m	4	6	2			7	4324	3,28	80	/	/							
	27.10.2024	21	00:00	00:00	00:00	REST	2785	140	252	15	50	60	3	69	122	0	75,1						Medium	11h 20m	7	8	1			0	6824	5,17	80	/	/							
